Hugo_Symbol	Entrez_Gene_Id	TCGA-2J-AAB1-01	TCGA-2J-AAB4-01	TCGA-2J-AAB6-01	TCGA-2J-AAB8-01	TCGA-2J-AAB9-01	TCGA-2J-AABA-01	TCGA-2J-AABE-01	TCGA-2J-AABF-01	TCGA-2J-AABH-01	TCGA-2J-AABI-01
FAM135A	57579	0.4237	0.8366	-1.0962	0.0896	-0.4488	0.0429	-0.5161	0.8732	1.147	-2.4928
FAM135B	51059	-0.1117	0.3795	-0.0371	-2.057	0.1092	-2.057	-0.1043	0.466	0.2896	-0.5952
FAM136A	84908	0.207	0.0759	-0.2163	0.34	0.5026	0.1964	-0.8705	-0.3636	0.1956	0.6505
FAM136B	387071	-2.2358	-2.2358	-0.3421	-2.2358	-2.2358	-2.2358	-2.2358	-0.9882	-0.749	-0.9628
FAM138B	654412	-2.1466	2.2309	-2.1466	-2.1466	2.2794	-2.1466	-0.2905	-0.0762	-2.1466	-2.1466
FAM138D	677784	-2.2016	-2.2016	-2.2016	-2.2016	-2.2016	-2.2016	-2.2016	-2.2016	-2.2016	-2.2016
FAM138E	100124412	-1.819	3.1137	-1.819	-1.819	-1.819	-1.819	-1.819	-1.819	-1.819	-1.819
FAM138F	641702	0.2422	7.9631	-1.5284	-1.5284	0.721	-1.5284	-0.5851	-0.106	-0.8184	-0.4568
FAM13A	10144	0.6631	0.7616	-1.3381	-0.7836	-0.4008	-0.3819	-0.596	0.1092	-0.5131	1.2392
FAM13AOS	285512	0.014	0.5377	0.1502	-0.7753	-1.1435	0.163	0.6991	0.5336	-0.5095	-0.0348
FAM13B	51306	-0.0324	-0.6521	-2.0406	0.0181	0.2031	0.4104	-0.366	0.3246	-0.5925	-0.3163
FAM13C	220965	-0.0192	-0.6629	-0.6835	0.0172	0.2651	0.1885	-0.4191	0.673	-0.527	-1.971
FAM149A	25854	0.4633	0.9074	-1.6351	-1.8141	0.2934	0.5197	-0.1317	0.3359	0.8021	-2.1937
FAM149B1	317662	0.6986	-0.1406	-0.1357	0.0627	0.6356	0.0263	-0.1974	-0.5797	1.1441	2.1131
FAM150A	389658	-0.4019	0.8163	-1.9964	0.7128	0.6	0.7007	0.3263	-0.217	-1.8613	-0.5214
FAM150B	285016	0.345	1.0469	-1.2166	-1.258	1.4751	-1.4452	-0.0282	0.7364	0.4932	-1.4392
FAM151A	338094	0.0833	-0.0882	-1.6001	-1.6001	-1.6001	0.9521	-1.6001	-0.2129	-0.5942	1.2058
FAM151B	167555	-0.9355	-0.1312	-0.4377	0.9172	-0.057	-0.0815	0.5687	0.6027	-0.1973	0.0325
FAM153A	285596	-0.5877	-0.3138	-1.0178	-0.6993	0.4479	-0.5888	-1.1601	0.13	-0.8447	-0.7246
FAM153B	202134	0.2535	0.9423	-1.7705	0.1516	-0.6076	-1.2768	-1.2829	0.2087	-0.4663	-1.2166
FAM153C	653316	-0.8271	0.4784	-1.4284	0.1725	-0.326	-1.4284	-1.4284	-0.0924	-1.4284	-1.4284
FAM154A	158297	-0.6856	-0.8785	-2.3514	-2.3514	-2.3514	-0.3124	-2.3514	-2.3514	-2.3514	-1.0535
FAM154B	283726	-0.0688	-0.2026	-1.2659	1.206	-0.5026	0.043	-0.6714	0.3826	-0.4642	-0.3005
FAM155A	728215	1.1862	0.4385	-0.1647	-0.0494	-0.4144	2.0046	0.5264	0.4917	1.1116	-0.7096
FAM155B	27112	-0.654	-0.2871	-1.3506	-0.0567	0.7033	-0.1124	0.552	0.3846	0.6501	-2.6541
FAM156A	29057	-0.3476	0.7447	-0.3021	1.3433	-0.884	1.3001	1.2285	-0.0675	0.175	1.3632
FAM157A	728262	1.2457	1.6319	0.2584	0.9065	-1.2598	-0.7338	-1.2968	1.3783	-0.4015	0.1064
FAM157B	100132403	-0.7734	0.019	-1.9671	0.3827	-1.9671	-1.1145	0.9621	-0.1796	-0.5018	-0.1531
FAM158A	51016	0.5472	0.8665	0.771	-1.0107	-0.0492	-0.8442	-0.23	-0.4549	0.1858	0.2848
FAM159A	348378	0.6185	0.4261	-0.2119	-0.0041	0.2162	-0.1929	0.4449	0.5528	-0.0891	0.1354
FAM160A1	729830	0.1273	0.8528	0.5373	-1.1931	0.3591	0.3362	0.3703	0.1987	0.5651	2.1133
FAM160A2	84067	1.195	0.9396	-0.8436	0.9855	-0.9224	0.9203	1.4792	1.1623	1.2109	-0.7666
FAM160B1	57700	-1.414	-0.7209	-0.6287	0.3791	-0.209	-0.0947	0.0152	0.1544	-1.1579	-1.3261
FAM160B2	64760	0.1743	-0.593	-1.1751	0.2503	0.5492	0.9951	0.124	0.5102	0.1775	1.8646
FAM161A	84140	0.0786	0.4933	-0.6991	0.1426	-0.1825	0.2863	-0.0114	-0.1454	0.1111	0.826
FAM161B	145483	1.027	-0.281	0.2494	0.2813	-0.3771	0.0909	0.1056	0.1303	0.5256	-0.7766
FAM162A	26355	-0.4351	0.3822	1.6676	-0.5216	-0.2461	-0.6385	-0.0682	-0.9284	0.0898	-0.101
FAM162B	221303	-0.1907	0.7376	0.4007	-0.2841	0.4116	-0.6551	-0.8376	0.8431	-0.3855	-1.5007
FAM163A	148753	-0.604	-0.5289	0.629	-0.7399	-0.0715	-1.0148	-0.4877	-0.6142	-0.4643	0.0682
FAM163B	642968	-0.5443	-1.762	-0.3507	0.2694	-1.762	-1.762	-1.762	-0.1198	-1.762	-1.762
FAM164A	51101	-0.227	-0.5267	0.3073	0.253	0.455	0.5613	0.7075	-0.6303	-0.4322	-0.7476
FAM164C	79696	1.4154	1.1743	-0.6622	-1.0798	0.6897	-1.7403	0.1316	0.3703	1.053	0.4946
FAM165B	54065	0.3224	-0.3398	-0.5256	0.5409	-0.0439	0.4254	-0.3317	-0.417	0.1676	0.3007
FAM166A	401565	0.4179	0.2307	-1.5677	-0.1113	0.033	1.5531	-0.5122	-0.9011	-1.5677	1.9685
FAM166B	730112	-0.1074	0.0199	-0.8185	-0.9525	-0.8738	-0.7736	-1.1711	-0.3807	-0.2072	0.486
FAM167A	83648	-1.0317	0.3355	0.1501	-0.7678	0.3036	0.0474	-0.2643	0.1607	-0.2	-1.3002
FAM167B	84734	-0.0107	0.0911	-1.393	-0.575	1.728	-0.2668	-0.1206	0.0942	-0.7701	-1.3633
FAM168A	23201	-0.0349	0.3772	-0.0026	-0.1604	0.099	0.8312	0.356	0.6078	0.1715	0.1094
FAM168B	130074	-1.772	-1.1218	-0.7419	-0.4168	0.4799	0.4669	0.8768	0.4434	-0.5403	1.5145
FAM169A	26049	-0.1656	-0.0927	-0.2356	-0.197	-0.1089	1.0239	0.3386	-0.0116	-0.934	-1.043
FAM169B	283777	0.3059	0.7986	-1.6057	0.2699	0.9926	0.783	-0.5346	0.9628	0.4015	-0.346
FAM170A	340069	-1.7174	-0.5465	-0.1826	-1.7174	-1.7174	-0.0964	-1.7174	0.6967	-1.7174	-1.7174
FAM170B	170370	-2.2349	-0.8738	-0.4508	-2.2349	-2.2349	-0.3506	-2.2349	1.7156	-0.8342	-2.2349
FAM171A1	221061	-0.6485	0.3851	-1.429	-0.3944	0.8162	-0.8126	-0.2513	0.781	0.2458	-2.0097
FAM171A2	284069	-1.0858	-0.7302	-0.212	-0.4058	-0.1365	0.1364	0.6056	-0.0517	0.047	-0.2206
FAM171B	165215	-0.9051	-0.2282	0.0061	-0.1381	0.093	0.1911	-0.1515	0.1263	-0.475	0.9913
FAM172A	83989	-1.0717	-0.2218	-1.1354	-0.6033	0.32	0.1263	-0.0688	0.071	-1.1498	-0.9219
FAM173A	65990	0.9913	0.034	-0.0902	-0.014	0.3201	-0.024	0.8776	0.3816	0.8127	0.9003
FAM173B	134145	-1.2491	-0.8369	-2.768	-0.0317	-0.4552	0.579	0.4707	1.0651	-1.3406	-0.9728
FAM174A	345757	-0.7811	-0.5589	0.2295	-0.2188	-0.1598	0.2551	0.3599	-0.3411	-0.5459	0.4818
FAM174B	400451	1.1365	0.3434	-0.7097	-0.2821	0.5691	-1.371	-0.8052	-0.6306	-0.0736	-2.6608
FAM175A	84142	-0.0421	-1.1915	-0.9179	-1.3861	0.2799	-0.1891	-0.1848	-0.4385	-0.8682	0.0473
FAM175B	23172	-0.0528	-1.1127	-1.399	0.0013	-0.9344	-1.2181	-0.4636	-0.0303	-0.1213	1.2954
FAM176A	84141	-0.8506	-0.2003	0.4522	-0.1153	0.8792	1.062	0.5475	-0.1582	-0.3413	0.5504
FAM176B	55194	0.3722	-0.0745	0.8611	0.6409	0.691	0.867	0.9382	0.1857	0.0199	0.8951
FAM177A1	283635	1.0169	0.2669	0.8934	0.5563	0.1051	-1.2267	0.9457	-1.2845	0.8976	-2.5398
FAM177B	400823	0.7847	0.6414	-1.9876	0.5679	-1.4118	0.4019	0.1353	0.4144	1.2502	-0.848
FAM178A	55719	0.8005	-0.2208	-1.3721	0.5711	-0.7679	-0.3487	-0.1964	0.5933	-0.1381	0.4574
FAM178B	51252	-1.267	0.3729	0.736	0.252	0.3929	-1.5108	1.4322	-0.2234	-2.1201	0.0644
FAM179A	165186	0.2289	0.6103	0.9871	-0.2554	-0.1821	0.419	-1.2362	0.657	0.1788	-0.1841
FAM179B	23116	-0.3017	-0.2938	-0.9112	-0.1791	-0.5399	-0.1092	-0.1147	0.3754	-0.4533	-1.7805
FAM180A	389558	0.0801	-0.2782	1.1332	0.6915	0.0708	0.7237	0.228	-0.5412	-0.445	-0.8778
FAM180B	399888	1.218	-0.5589	-1.1212	-0.4834	-0.8351	-0.2737	-1.6129	-0.1776	-1.2269	-1.2824
FAM181A	90050	-1.0079	-1.0079	-1.0079	-1.0079	-1.0079	-1.0079	-1.0079	-1.0079	-1.0079	3.5012
FAM181B	220382	-0.3388	0.4238	-0.5621	-0.5974	0.3337	-0.2302	-0.6133	0.5262	0.1915	-1.3202
FAM182A	284800	1.7909	-0.5921	-1.7656	-1.7656	-1.7656	0.6443	-0.2218	0.9871	-1.7656	-0.7172
FAM182B	728882	0.489	0.7581	0.2334	0.2948	-0.4372	0.5146	0.5707	-0.7748	-1.8655	-0.3314
FAM183A	440585	-1.2108	-0.8393	-0.1395	-1.2108	-0.4406	-1.2108	-0.7029	-0.89	-0.5483	-1.2108
FAM183B	340286	0.832	0.0604	-1.8528	-1.8528	-1.8528	-1.0315	0.2467	-0.3619	-1.8528	-0.9313
FAM184A	79632	-0.5196	0.5711	-0.2891	-1.0265	-0.1842	-0.3472	-1.3734	0.0441	0.0534	-0.3998
FAM184B	27146	-1.2992	-0.6925	-0.4913	-1.2992	-1.2992	-1.2992	-1.2992	-1.2992	-0.7076	-1.2992
FAM185A	222234	0.2911	0.2168	-1.1875	0.3027	0.2366	-0.0849	-0.2641	-0.2965	0.5302	-0.6182
FAM186A	121006	0.3097	0.4737	-1.593	1.1128	-0.2026	-0.5876	0.6304	0.9299	-0.315	1.1985
FAM186B	84070	-0.6493	-1.1642	-1.8643	1.0817	0.5835	0.6236	1.1185	-0.5484	0.0598	1.0164
FAM187B	148109	1.1466	-2.1487	2.8484	0.2738	-2.1487	-0.3711	-2.1487	-1.0399	-2.1487	-1.0173
FAM188A	80013	-0.4209	-0.2228	-0.0746	0.6716	0.5175	-1.1592	0.3962	-0.5376	-0.2	-3.5885
FAM188B	84182	0.1916	-0.0998	-0.1862	1.8366	-0.3132	0.4183	1.2646	0.0224	0.6016	-3.7873
FAM189A1	23359	-0.2061	0.9377	-0.4409	-0.388	1.1461	-1.5042	-0.1268	1.0316	0.2597	-0.1105
FAM189A2	9413	1.8555	0.4711	-2.8956	-0.8066	0.1791	0.1025	-0.4199	0.4244	0.0098	2.3252
FAM189B	10712	0.7507	-0.2174	2.0228	1.2102	-0.1595	0.2375	1.1186	0.0548	1.2326	2.3187
FAM18A	780776	-0.0795	0.78	-1.8005	-1.2923	0.7575	0.0675	-0.3316	0.7807	-1.0281	-0.046
FAM18B2	201158	-0.7041	-0.862	0.5031	1.5225	-0.3246	-0.0367	0.2631	-0.2995	-1.5159	-1.0908
FAM18B	51030	0.831	0.0367	-0.0754	1.7684	-0.3213	0.2242	-0.1074	-0.5144	-0.4886	-0.8209
FAM190A	401145	0.7576	0.6737	-2.4927	-0.0319	-0.5157	0.7149	-0.0955	-0.2807	1.0281	0.867
FAM190B	54462	-0.0095	0.0603	0.3257	0.3218	0.225	-0.2689	0.0044	0.12	-0.514	-0.2705
FAM192A	80011	0.0878	0.3817	-0.4861	1.4755	-0.6844	-0.6564	0.344	1.0508	0.8103	2.4773
FAM193A	8603	0.5451	-0.1602	-1.0706	-1.7332	-0.1785	0.2842	0.5198	0.101	0.2409	1.0243
FAM193B	54540	-0.2742	0.8566	-0.4833	1.0411	0.1015	0.3452	0.3025	0.5382	0.9043	1.7959
FAM194A	131831	-1.0228	0.1435	-0.8471	-2.1282	1.0584	0.8136	-0.7919	-0.1132	-2.1282	1.9076
FAM194B	220081	-7.025	-7.025	-7.025	-7.025	-7.025	-7.025	1.2356	-7.025	-7.025	-7.025
FAM195A	84331	0.5037	0.164	-0.0572	0.2668	-0.1776	-0.4119	0.4361	0.1937	0.1222	0.4149
FAM195B	348262	-0.0118	-0.3251	0.1835	-0.5357	1.3407	-0.2719	-0.3256	-0.0142	0.0462	0.8622
FAM196A	642938	0.8092	-0.3009	-1.1061	0.2335	-0.0146	1.7972	0.4753	-0.9	-0.3839	0.2243
FAM196B	100131897	-1.0327	-1.1397	-0.8922	0.215	-0.3568	-0.5889	0.4148	-0.4757	-0.8978	-0.2392
FAM197Y2	252946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM198A	729085	0.7174	-0.0398	0.1781	0.2241	0.4059	0.9588	-0.1726	0.3953	-0.6572	0.1337
FAM198B	51313	-0.4262	-0.7278	0.1604	1.0205	0.2274	0.8665	0.559	0.3784	-0.8839	-1.1458
FAM199X	139231	-0.3703	1.8541	-1.358	-0.2003	-0.5375	-0.1435	-0.278	0.6061	-0.0672	-0.6104
FAM19A1	407738	-0.812	0.1155	-1.9026	0.2442	-0.7359	0.1063	-1.1333	0.5221	-1.3236	-0.4664
FAM19A2	338811	0.2074	-0.1763	-1.8222	-1.0562	-0.1115	1.2724	-0.8545	-0.3044	-1.1328	-0.9568
FAM19A3	284467	-0.4277	-0.9843	0.4633	-0.8848	1.3873	-0.1295	0.2261	0.0284	-0.2225	3.0025
FAM19A4	151647	-1.3331	-0.5308	-0.0021	-1.3331	0.8545	-1.3331	-0.7021	-0.3817	-0.5101	-1.3331
FAM19A5	25817	0.2741	0.1691	-0.3807	1.2269	0.3054	0.3887	1.2493	-0.4143	-0.239	0.2115
FAM200A	221786	-0.2713	-2.1743	0.1343	-0.5934	-0.421	0.3449	-0.7879	0.3305	-0.496	1.0849
FAM200B	285550	-0.198	0.3396	-0.391	-0.0255	-0.7411	0.4524	-0.3433	0.0423	-0.8124	0.7814
FAM20A	54757	-0.7054	-0.1033	0.6378	-0.0384	0.5447	-0.1261	0.4953	0.4313	-0.3871	-0.3112
FAM20B	9917	-1.455	0.0112	0.6341	1.3749	-0.7238	-0.3434	0.3816	0.3242	1.167	0.0044
FAM20C	56975	-0.1803	-0.8192	1.1249	0.1622	0.1682	-0.0771	0.1675	-0.3324	-1.107	-0.6851
FAM21A	387680	0.9186	-0.2787	0.5623	0.518	-0.4626	-0.5586	0.7789	0.3044	-0.2012	1.8302
FAM21B	55747	0.9822	0.2538	-0.5406	0.7575	0.6546	-1.7856	-0.8924	0.6176	0.3373	2.7438
FAM21C	253725	0.5711	-0.69	-1.3922	0.6212	-0.3125	-0.0461	0.281	-0.0853	0.1201	1.6682
FAM22A	728118	0.4888	-0.9562	-1.2388	-0.4671	-0.0434	-1.5017	1.202	0.1399	-0.9544	-1.7937
FAM22D	728130	0.572	-2.3249	-1.6779	-0.8415	0.4438	-1.7848	0.6148	0.8458	-0.2832	-0.2647
FAM22F	54754	0.6551	-0.5815	-0.4402	-0.1796	-1.3648	0.6982	-0.0507	0.3019	1.1356	0.3384
FAM22G	441457	0.937	-0.4183	-0.6722	-1.4163	0.7122	-0.1605	0.1635	-0.1754	1.8033	0.4296
FAM23A	653567	-0.1126	0.6379	0.9874	-1.7554	-0.6158	-0.774	0.5275	0.7482	-0.135	-0.4656
FAM24A	118670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM24B	196792	0.2832	0.4932	0.6516	-0.1334	-0.1508	-0.0778	0.0277	-0.0664	0.0752	1.7917
FAM25A	643161	-0.8267	-1.2145	2.1861	-0.848	-1.6279	-1.6279	-0.165	-1.6279	-0.6444	-1.2636
FAM25B	100132929	1.0382	-1.4215	0.2653	0.7261	-1.4215	-0.1169	-0.1293	-1.4215	1.633	-1.4215
FAM26D	221301	-2.8652	-2.8652	-2.8652	-2.8652	-2.8652	1.4768	-2.8652	-2.8652	-2.8652	-2.8652
FAM26E	254228	-0.2915	0.2629	0.5158	1.2179	0.1698	0.239	0.1769	0.5972	-0.322	-0.3756
FAM26F	441168	0.1833	1.5017	0.4767	-0.5056	-0.5019	-1.0541	-1.8784	1.5268	-0.1486	0.3522
FAM27A	548321	0.025	1.0097	0.4794	-0.8973	0.7269	-0.2255	0.5104	-0.6741	0.4377	-2.7028
FAM27B	100133121	0.52	-1.3026	-1.3026	-1.3026	-1.3026	-1.3026	-1.3026	0.3323	-1.3026	-1.3026
FAM27C	100132948	-0.2253	1.2	0.378	-0.4674	-0.4627	0.2597	0.2371	-0.4104	0.7665	-1.9693
FAM27L	284123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM32A	26017	1.4798	-0.5011	-1.0798	0.1727	0.4695	-0.5992	-0.6155	-0.2828	0.7787	-1.5345
FAM35A	54537	-0.9241	-0.2741	-0.9603	1.5933	-0.4434	-0.2736	-0.6599	0.2546	-0.4695	-1.0225
FAM35B2	439965	-1.3692	-1.165	-1.3986	1.0359	-1.8821	-1.3838	-0.9012	0.1296	-1.0899	-0.7502
FAM35B	414241	-1.0071	-0.2112	-0.6156	2.0742	-0.3899	0.4921	-1.4759	0.4862	-1.0244	-0.633
FAM36A	116228	-1.0007	1.0615	0.6466	-0.6236	0.0503	-1.636	0.563	-0.5085	-0.5927	-1.129
FAM38A	9780	-0.0344	0.2887	0.6866	0.3098	0.6671	-0.0013	0.3259	0.8906	0.3481	0.9848
FAM38B	63895	-0.1013	-0.7177	-0.8317	0.1499	0.0	-0.0297	0.4014	0.1143	-0.2368	-1.83
FAM3A	60343	0.8266	1.5447	2.1526	-1.7733	0.0232	-0.9788	-0.2467	-0.3268	0.7702	1.0211
FAM3B	54097	0.0251	1.2176	-0.1739	0.6089	0.6305	0.5741	0.0881	0.4474	-0.0491	-1.5273
FAM3C	10447	0.39	-0.5598	2.5422	0.3969	-0.2109	0.6302	-0.0186	-0.5753	-1.4101	0.8167
FAM3D	131177	0.4846	-0.0034	-0.2919	-0.2393	-0.7977	1.2467	0.5118	0.2452	-0.0859	-1.7545
FAM40A	85369	0.4941	-0.2948	1.0447	-0.3561	0.1692	-0.0159	-1.5954	1.3997	-0.672	-0.9184
FAM40B	57464	-0.8095	0.7401	2.0949	0.4985	-0.2083	1.2258	0.6482	0.4682	2.0965	-2.19
FAM41AY1	340618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM41C	284593	0.2076	-0.6549	0.7754	0.7033	-1.1551	0.8446	1.1912	1.058	0.057	0.0213
FAM43A	131583	0.6556	-0.169	-2.0167	-0.1875	0.7526	0.7408	0.8408	-0.684	-0.4583	-0.1837
FAM43B	163933	0.0069	0.2493	0.6118	-0.6143	1.5858	0.2689	-0.1398	0.0494	0.7445	0.6816
FAM45A	404636	-0.0149	0.5142	-0.5081	-0.1603	-0.8982	0.2024	0.1599	-0.1167	0.1369	0.8276
FAM45B	55855	0.7433	-0.2429	0.04	0.0417	-0.113	0.4846	0.3603	0.0953	0.5142	0.5379
FAM46A	55603	-0.631	0.3374	0.1958	-0.0935	-1.2634	-1.0988	-1.0242	0.3688	-0.8197	-2.1992
FAM46B	115572	-0.5703	-0.4699	-0.8567	0.9733	0.4299	0.7097	0.0501	-0.0891	-1.1566	0.9787
FAM46C	54855	-0.3956	-0.0778	-0.2874	-1.0386	0.1897	0.1796	-1.2663	0.0295	-0.4068	-0.9522
FAM46D	169966	-2.3387	-2.3387	-2.3387	-2.3387	-2.3387	-2.3387	-2.3387	-2.3387	-0.7505	-2.3387
FAM47A	158724	-2.5129	-2.5129	-2.5129	-2.5129	-2.5129	-2.5129	-2.5129	-2.5129	-2.5129	-2.5129
FAM47B	170062	-3.3887	-3.3887	-3.3887	-3.3887	-3.3887	-3.3887	-3.3887	-3.3887	-3.3887	-3.3887
FAM47C	442444	-1.371	-0.6996	-1.371	-0.1043	0.0212	-0.4415	-1.371	-1.371	-0.68	-1.371
FAM47E	100129583	0.8111	0.1558	-0.8846	-0.403	-0.0374	-0.0477	0.3877	0.1525	0.1568	-0.3608
FAM48A	55578	0.1146	-0.0441	2.095	2.0147	-0.0652	0.8546	-0.0332	1.687	1.743	0.5994
FAM48B1	100130302	-1.9056	-1.0513	-0.022	-0.2939	-0.1342	1.8875	-0.7375	1.1275	-0.382	-1.9056
FAM48B2	170067	-0.9541	-0.1245	-0.2075	-1.7404	0.5264	1.0671	-0.7898	0.5155	-1.7404	-1.1278
FAM49A	81553	-0.4055	0.7666	0.3671	0.2348	-0.0209	-0.1392	-0.1044	0.669	0.0088	0.6275
FAM49B	51571	-1.0088	0.3116	0.2208	-0.5908	0.2143	-1.0839	-0.7413	0.441	2.0105	1.3574
FAM50A	9130	0.058	1.4294	4.4094	-0.5097	0.2105	-0.7775	-0.3897	-0.342	-0.1086	0.8176
FAM50B	26240	0.0301	-0.6202	-1.1183	-0.506	0.9932	0.5032	0.8905	0.4659	1.0819	1.5316
FAM53A	152877	0.9679	-0.3718	-1.2151	-0.2842	0.8193	0.334	0.506	-0.6215	0.5458	2.5578
FAM53B	9679	0.0027	-0.0607	-0.9638	-1.2015	-0.591	-0.2313	0.4158	0.2513	-0.7659	2.5782
FAM53C	51307	-0.7886	0.2312	-1.8157	-0.6922	-0.0084	1.0139	-0.5648	-0.2903	-0.0222	0.5668
FAM54A	113115	-0.3373	0.3672	0.6485	0.1483	1.0841	-0.9621	-1.1427	1.0942	-0.8512	-0.066
FAM54B	56181	-0.5992	0.6108	0.4745	-0.3035	0.3647	-0.2697	0.3482	-0.3676	-1.0723	-1.1342
FAM55A	120400	-0.8836	-0.5592	-0.8836	-0.8836	-0.8836	-0.8836	-0.8836	-0.8836	-0.8836	-0.8836
FAM55B	120406	-0.8349	-1.2828	-1.2828	-0.0904	-1.2828	1.1314	0.1184	0.2323	-0.3407	-0.6678
FAM55C	91775	-0.2726	0.0317	-0.2442	-0.909	-0.0424	-0.0398	-0.2789	0.2561	-0.0151	0.4031
FAM55D	54827	-0.6332	-1.0757	-0.5628	-1.0757	-0.2644	1.2249	-0.1808	0.0599	-1.0757	-1.0757
FAM57A	79850	0.727	-0.1625	-0.7336	0.0636	-0.7758	1.8505	-0.6124	-1.5472	0.4489	0.3928
FAM57B	83723	-0.3606	0.2689	0.5569	-0.389	-0.1098	-1.1105	-0.7017	0.5568	-0.0649	1.9032
FAM58A	92002	0.1596	0.3883	2.6516	-1.3743	-0.4773	-0.4034	-0.9216	0.1577	-0.0009	0.4301
FAM58B	339521	-2.3127	-2.3127	-2.3127	-2.3127	1.2056	-2.3127	-2.3127	-2.3127	-0.5666	-0.8176
FAM59A	64762	1.3141	0.4159	-1.5209	-0.6772	1.1254	-0.4298	-0.8094	0.4634	0.4205	-0.1041
FAM5B	57795	-0.8063	0.0826	-1.4901	-0.8245	0.1823	-0.4282	0.064	0.0301	0.2736	-0.3292
FAM5C	339479	-0.792	-1.1154	-1.0083	1.0011	0.5081	0.2998	-0.6717	0.0991	-0.3256	-0.7374
FAM60A	58516	-0.4357	-0.3826	-0.3888	0.8141	0.3295	-0.1825	-0.0156	0.389	0.1433	2.0775
FAM63A	55793	0.9247	0.4307	-1.3514	0.1625	0.4184	-0.1354	0.9055	0.0964	0.8464	-1.629
FAM63B	54629	0.424	0.1271	-0.1904	0.5282	-0.3707	0.8308	-0.0515	0.6816	-0.4694	-0.5795
FAM64A	54478	0.5014	0.7438	1.8955	0.4009	0.0438	-0.076	-0.0095	0.1515	-0.3659	1.1909
FAM65A	79567	0.414	0.2333	1.6847	-0.1915	0.6423	-0.1018	0.862	-0.0031	0.2788	2.1262
FAM65B	9750	0.1754	-0.7395	-1.4086	0.05	-0.2024	0.0469	-0.3903	0.5033	-0.3672	0.9634
FAM65C	140876	-1.1108	-0.1531	0.9742	-0.4873	0.1375	1.2498	-0.0638	0.3243	-1.002	1.5669
FAM66A	100133172	-1.3322	0.332	0.0614	-0.7316	-2.2311	-0.3938	0.1385	1.0313	1.1642	0.11
FAM66C	440078	-0.6172	-0.2499	-0.947	0.6846	0.4585	0.014	0.0372	0.2729	-0.1983	2.8603
FAM66D	100132923	0.5876	-0.0362	-1.8177	1.5242	0.51	-0.377	-0.3604	0.4077	0.0059	1.4489
FAM66E	100132103	1.2215	0.667	-0.1783	-2.0059	-2.0059	-0.0899	1.3136	0.3998	0.3743	2.3898
FAM69A	388650	-0.0162	1.0467	-1.2819	0.2934	-0.6537	0.6941	-1.3172	-0.4461	-0.463	-1.1988
FAM69B	138311	-0.1767	-0.0294	-0.8873	-0.4167	0.1103	-0.2256	-0.6007	0.0236	-0.1697	-0.5265
FAM69C	125704	1.2291	0.8901	-1.4418	-0.1055	-0.2432	1.7105	0.3946	-0.3579	0.0486	0.3599
FAM70A	55026	-0.4818	-0.0242	-0.1538	0.0564	0.3173	-0.503	-0.211	0.8882	0.607	-1.7572
FAM70B	348013	-0.3574	-0.0979	-1.3451	-0.548	0.5365	-0.3959	0.3532	-0.5059	-0.5557	-0.4675
FAM71A	149647	-1.8796	0.2689	-1.8796	-0.0416	0.1405	-0.5309	-0.5475	-1.0383	-1.8796	-1.8796
FAM71B	153745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM71C	196472	-3.1714	-3.1714	-3.1714	-3.1714	-3.1714	-3.1714	-3.1714	-3.1714	-3.1714	-3.1714
FAM71D	161142	-0.2093	-0.4182	1.5163	1.1897	-0.7937	-0.5345	0.6595	0.6645	0.9714	0.7546
FAM71E1	112703	0.4429	-0.1942	0.0404	-0.8605	0.5171	-0.006	-0.4738	0.8621	0.1235	-0.0173
FAM71E2	284418	-1.3727	1.8065	1.2455	-0.4243	-0.7196	-0.6446	-1.3727	2.8742	-1.0486	0.6933
FAM71F1	84691	-0.6746	-0.2984	-1.3748	-1.3748	-1.3748	-1.3748	-0.5282	-0.8401	-0.7376	-1.3748
FAM71F2	346653	-0.3748	0.3807	-0.3969	0.7987	0.0184	0.649	2.2182	1.2367	-0.6097	-0.5209
FAM72A	729533	0.3596	0.5698	1.0036	1.1742	-0.6863	-0.294	0.4374	1.6672	0.4559	1.1942
FAM72B	653820	-0.1526	0.7926	1.0401	0.8772	-0.1233	-0.6249	-0.4898	0.9434	0.0666	0.9856
FAM72D	728833	-0.1734	0.5166	1.3126	1.5654	-0.6228	-0.668	-0.3877	0.7234	0.9575	1.6494
FAM73A	374986	-0.0325	-0.1612	0.5715	-0.0686	-0.5944	0.5557	0.2971	0.7613	-0.3622	-1.7838
FAM73B	84895	0.028	0.0711	-1.2608	0.6332	-0.3906	1.2923	0.2199	0.3599	0.3398	0.8344
FAM74A1	401507	-1.4217	-1.4217	-1.4217	-1.4217	-1.4217	-1.4217	-1.4217	-1.4217	-1.4217	-1.4217
FAM74A3	728495	-2.6743	-2.6743	-2.6743	-2.6743	-2.6743	-2.6743	-2.6743	-2.6743	-2.6743	-2.6743
